municipio;ano_distribuicao;ano_calculo;codigo;valor_adicionado;pop;receita_tributaria;area_cultivada;area_inundada;ind_protegida;ind_participacao;total_icms_estado;montante_disponivel;total_recebido_municipio;valor_adicionado_2anos;share_valor_adicionado_2anos;share_pop;share_receita_tributaria;share_area_cultivada;share_area_inundada;ind_participacao_calculado;Codmun7;nota_ideb;matriculas_rede_publica;matriculas_rede_municipal;nota_ideb_imp_norm;evolucao_ideb;evolucao_ideb_norm;evolucao_e_nota;nota_ideb_2015;nota_ideb_2017;evolucao_e_nota_X_matriculas_municipal;share_nota;share_evolucao_e_nota;share_evolucao_e_nota_X_matriculas_municipal;ind25_nota;ind25_evolucao_e_nota;ind25_evolucao_e_nota_X_matriculas_municipal;ind10_nota;ind10_evolucao_e_nota;ind10_evolucao_e_nota_X_matriculas_municipal;transf25_nota;transf25_evolucao_e_nota;transf25_evolucao_e_nota_X_matriculas_municipal;transf10_nota;transf10_evolucao_e_nota;transf10_evolucao_e_nota_X_matriculas_municipal;var_transf25_nota;var_transf25_evolucao_e_nota;var_transf25_evolucao_e_nota_X_matriculas_municipal;var_transf10_nota;var_transf10_evolucao_e_nota;var_transf10_evolucao_e_nota_X_matriculas_municipal;var_perc_transf25_nota;var_perc_transf25_evolucao_e_nota;var_perc_transf25_evolucao_e_nota_X_matriculas_municipal;var_perc_transf10_nota;var_perc_transf10_evolucao_e_nota;var_perc_transf10_evolucao_e_nota_X_matriculas_municipal;receitas_correntes_2018;receitas_correntes_2017;IDH;IDHM_renda;IDHM_longevidade;IDHM_educacao;area_geografica;regiao_metrop;pop_urbana;idosos_sobre_jovens;fracao_pop_abaixo_15;receitas2018_pc;receitas2017_pc;var_perc_rc2018_25_nota;var_perc_rc2018_25_evolucao_e_nota;var_perc_rc2018_25_evolucao_e_nota_X_matriculas_municipal;var_perc_rc2018_10_nota;var_perc_rc2018_10_evolucao_e_nota;var_perc_rc2018_10_evolucao_e_nota_X_matriculas_municipal;quintil_area_geografica;quintil_fracao_pop_abaixo_15;quintil_IDH;quintil_idosos_sobre_jovens;quintil_pop;quintil_pop_urbana;quintil_receitas_correntes_2018;quintil_receitas2017_pc;quintil_receitas2018_pc;quintil_var_perc_transf25_nota;quintil_var_perc_transf25_evolucao_e_nota;quintil_var_perc_transf25_evolucao_e_nota_X_matriculas_municipal;quintil_var_perc_transf10_nota;quintil_var_perc_transf10_evolucao_e_nota;quintil_var_perc_transf10_evolucao_e_nota_X_matriculas_municipal;quintil_ben_var_perc_transf25_nota;quintil_ben_var_perc_transf25_evolucao_e_nota;quintil_ben_var_perc_transf25_evolucao_e_nota_X_matriculas_municipal;quintil_ben_var_perc_transf10_nota;quintil_ben_var_perc_transf10_evolucao_e_nota;quintil_ben_var_perc_transf10_evolucao_e_nota_X_matriculas_municipal;quintil_prej_var_perc_transf25_nota;quintil_prej_var_perc_transf25_evolucao_e_nota;quintil_prej_var_perc_transf25_evolucao_e_nota_X_matriculas_municipal;quintil_prej_var_perc_transf10_nota;quintil_prej_var_perc_transf10_evolucao_e_nota;quintil_prej_var_perc_transf10_evolucao_e_nota_X_matriculas_municipal;faixa_pop;nota_imputada
ADAMANTINA;2018;2016;150;443325699;33797;12031792;35589.9;0;0;0.05336953;135942.42525178;27188.485050356;14.5103666854953;833452383;0.000424941810916214;0.000819078983163258;0.000271660061002433;0.00199861774107971;0;0.0533985331328044;3500105;NA;1384;1384;0.588235294117647;0.899999999999999;0.564102564102564;1.15233785822021;6.6;6.9;1594.83559577677;0.00189609051582351;0.00192456563084653;0.000974677773883678;0.0792728987143038;0.0799847765898793;0.056237580165808;0.061749178418998;0.0620339295692282;0.0525350509995997;21.5531002159224;21.7466490257;15.2901460760627;16.7886661431669;16.866085667078;14.2834844872231;7.0427335304271;7.23628234020473;0.779779390567429;2.27829945767166;2.35571898158272;-0.226882198272207;0.485358756472164;0.498697413859169;0.0537394683035065;0.157011845879062;0.162347308833864;-0.0156358693884009;172.42297489;159.53067366;0.79;0.772;0.852;0.75;411.987;NA;94.53;1.43079443079443;12.21;0.00510172426221262;0.00472026137408646;0.0408456792658874;0.0419682025833346;0.00452247962352408;0.0132134331815417;0.0136624425085206;-0.00131584667540361;2;5;1;1;2;2;2;2;2;3;3;2;3;3;2;4;4;4;4;4;NA;NA;NA;NA;NA;NA;1;20 mil a 50 mil;FALSE
ADOLFO;2018;2016;151;72823365;3557;585563;14775.8;65.1;0;0.02028591;135942.42525178;27188.485050356;5.51543160767867;194488121;9.91611950786537e-05;8.62048093946714e-05;1.32211461352363e-05;0.000829762826494191;0.0118593708157462;0.0202427681599387;3500204;NA;241;241;0.470588235294118;0.3;0.41025641025641;0.880844645550528;6.2;6.5;212.283559577677;0.00151687241265881;0.00147113393771515;0.000129736298731468;0.0453588999473693;0.0442154380737778;0.0106804970991857;0.0237164267402586;0.023259041990822;0.00984506560098519;12.3323977311964;12.0215077706385;2.90386535711582;6.44813713875384;6.32378115453067;2.6767241891216;6.81696612351775;6.50607616295981;-2.61156625056286;0.93270553107517;0.808349546851992;-2.83870741855708;1.2359805375933;1.17961324257959;-0.473501701467387;0.1691083486153;0.146561430609817;-0.514684547008974;24.50611498;23.6483337;0.73;0.71;0.844;0.648;211.055;NA;89.96;1.17130307467057;13.66;0.00688954596007872;0.00664839294349171;0.278174085491774;0.265487865713091;-0.106567942437804;0.0380601140505695;0.0329856261390965;-0.115836697121262;4;4;4;1;5;3;4;1;1;2;2;5;3;3;5;3;3;NA;4;4;NA;NA;NA;5;NA;NA;5;Até 20 mil;FALSE
AGUAI;2018;2016;152;585210755;32148;9111508;42196;0;0;0.06305729;135942.42525178;27188.485050356;17.1443218648096;1077392123;0.000549316276673822;0.000779115044256367;0.00020572436916331;0.00236959570559624;0;0.063114716758947;3500303;NA;2227;1972;0.176470588235294;0;0.333333333333333;0.509803921568628;5.2;6.1;1005.33333333333;0.000568827154747054;0.000851443957102262;0.000614405684159024;0.055419399619213;0.0624848196780932;0.0565588628545123;0.0571402412741201;0.0599664092976722;0.0575960265682398;15.0676951804668;16.9886758569203;15.3774979718504;15.5355659565515;16.3039582271329;15.6594870731049;-2.07662668434285;-0.155646007889349;-1.76682389295921;-1.60875590825814;-0.840363637676745;-1.48483479170469;-0.121126207307466;-0.00907857476759271;-0.103055921773481;-0.0938360770956051;-0.0490170240796559;-0.0866079628820114;92.61042907;83.89904311;0.715;0.703;0.858;0.606;474.554;NA;90.21;0.762305699481865;15.44;0.00288075242845589;0.00260977488832898;-0.022423248711797;-0.00168065313434303;-0.0190780229689223;-0.017371217522836;-0.00907417929185441;-0.0160331272256861;2;3;4;4;2;3;2;5;5;5;5;3;5;5;2;NA;NA;NA;NA;NA;NA;3;1;2;4;3;1;20 mil a 50 mil;FALSE
AGUAS DA PRATA;2018;2016;154;93085496;7584;2741276;8764.2;0;0.055364;0.01484971;135942.42525178;27188.485050356;4.03741118337122;188174425;9.594211086156e-05;0.000183800189611804;6.18939560611175e-05;0.000492170127097036;0;0.0148445782458272;3500402;NA;394;394;0.352941176470588;-0.100000000000001;0.307692307692308;0.660633484162896;5.8;6.5;260.289592760181;0.00113765430949411;0.00110335045328636;0.000159075005291073;0.0356370160519697;0.034779419646776;0.0111725334468938;0.0210244386698584;0.020681400107781;0.0112386456278281;9.68916478168274;9.45599731126429;3.03764258595475;5.71622636467572;5.62295937650834;3.05561748638453;5.65175359831152;5.41858612789306;-0.999768597416466;1.6788151813045;1.58554819313712;-0.981793696986695;1.39984592641672;1.34209419892887;-0.247626152504403;0.415814764723244;0.392714073728104;-0.243174066845206;25.61882061;25.52518356;0.781;0.75;0.886;0.716;142.673;NA;89.28;1.47539682539683;12.6;0.00337800904667722;0.00336566238924051;0.220609437270716;0.211508024135115;-0.0390247706026802;0.0655305412712556;0.0618899760170153;-0.0383231418781028;5;5;1;1;4;3;4;4;4;2;2;4;2;2;4;2;2;NA;2;3;NA;NA;NA;3;NA;NA;3;Até 20 mil;FALSE
AGUAS DE LINDOIA;2018;2016;153;146424081;17266;18948714;4196.7;0;0;0.02163082;135942.42525178;27188.485050356;5.88109226196942;264840799;0.000135031023999792;0.000418445948554511;0.000427833925416734;0.000235673578009189;0;0.0216491207101025;3500501;NA;1004;844;0.441176470588235;0.199999999999999;0.384615384615384;0.82579185520362;6.1;6.8;696.968325791855;0.00142206788686763;0.00137918806660795;0.000425949570005286;0.0456790239716753;0.0446070284651832;0.0207760660501166;0.030648164839134;0.0302193666365372;0.0206869816705105;12.4194346036875;12.1279752656644;5.64869761208803;8.33277171549641;8.21618798028718;5.62447691885663;6.53834234171805;6.24688300369498;-0.232394649881384;2.45167945352699;2.33509571831776;-0.256615343112783;1.11175646469599;1.06219775603436;-0.0395155592753041;0.416874849826959;0.39705136636231;-0.0436339597615578;85.77974813;82.89553537;0.745;0.725;0.846;0.675;60.126;NA;99.1;1.07478632478632;14.04;0.00496813090061392;0.00480108510193444;0.0762224474220783;0.0728246834465842;-0.0027092018214974;0.0285810987671758;0.0272219931769781;-0.00299156093025454;5;4;3;2;3;1;2;2;2;2;2;3;2;2;2;3;3;NA;2;2;NA;NA;NA;1;NA;NA;1;Até 20 mil;FALSE
AGUAS DE SANTA BARBARA;2018;2016;607;134507060;5601;7121638;28932.8;0;0.299658;0.02359326;135942.42525178;27188.485050356;6.41464996799162;297370105;0.000151616329269101;0.000135741674843844;0.000160796048794497;0.00162477577568667;0;0.0235648555622526;3500550;NA;415;415;0.61764705882353;0.600000000000001;0.487179487179487;1.10482654600302;6.7;6.9;458.503016591252;0.00199089504161469;0.00184521508454854;0.000280212393499063;0.0611436007355497;0.0575016018088961;0.0183765345326591;0.0333789361688637;0.0319221365982023;0.0162721096877075;16.6240187452343;15.6338144115269;4.99630134418554;9.07522707023939;8.67914533675645;4.42414010981988;10.2093687772427;9.21916444353532;-1.41834862380609;2.66057710224777;2.26449536876482;-1.99050985817174;1.59157067465665;1.43720460033484;-0.22111083705011;0.414765749576944;0.353019319848222;-0.31030685510576;35.56015177;33.13683034;0.757;0.744;0.84;0.695;404.463;NA;76.04;0.912390488110138;15.98;0.00634889337082664;0.00591623466166756;0.287101383685761;0.259255486398486;-0.0398858990529581;0.0748190592508195;0.0636807003359093;-0.0559758538446683;2;2;2;3;4;4;3;1;1;2;2;4;2;2;4;2;2;NA;2;3;NA;NA;NA;3;NA;NA;3;Até 20 mil;FALSE
AGUAS DE SAO PEDRO;2018;2016;155;33596882;2707;5687862;29;0;0;0.00711236;135942.42525178;27188.485050356;1.9337429353275;64833083;3.30556229236928e-05;6.56048408859644e-05;0.000128423508143543;1.62854951801808e-06;0;0.00711286865678841;3500600;NA;232;232;0.705882352941177;0.3;0.41025641025641;1.11613876319759;7;7.4;258.94419306184;0.00227530861898821;0.00186410807176235;0.00015825276932742;0.0593618871939823;0.0490818735133356;0.00643549095246246;0.0263733771905925;0.0222613717183339;0.00520281869398458;16.1395978253451;13.3446178426079;1.74971249552727;7.17052171473825;6.05252972164338;1.41456758281112;14.2058548900176;11.4108749072804;-0.184030439800231;5.23677877941075;4.11878678631588;-0.519175352516376;7.34629956779217;5.90092648759844;-0.0951679959306813;2.70810493149848;2.12995569942099;-0.268482093990662;26.88774916;23.50748574;0.854;0.849;0.89;0.825;3.612;NA;100;2.08483290488432;11.67;0.00993267423716291;0.00868396222386406;0.528339311910539;0.424389369276621;-0.00684439737611087;0.194764491004748;0.153184513951181;-0.0193089927099118;5;5;1;1;5;1;4;1;1;1;1;3;1;1;4;1;1;NA;1;1;NA;NA;NA;2;NA;NA;3;Até 20 mil;FALSE
AGUDOS;2018;2016;156;2759115788;34524;7622368;79694.8;0;0.092251;0.25386217;135942.42525178;27188.485050356;69.0212781389593;5801602112;0.00295798939204498;0.00083669801505247;0.000172101791309473;0.00447541131477749;0;0.253533041085779;3500709;NA;2267;2267;0.470588235294118;0.7;0.512820512820513;0.983408748114631;6.2;6.5;2229.38763197587;0.00151687241265881;0.00164243035512034;0.00136248186334197;0.259771014719844;0.262909963281382;0.255911250986923;0.247906908196391;0.249162487621007;0.246363002703223;70.6278035022629;71.4812360626551;69.5783922167586;67.4021326737757;67.7435056979325;66.982368159574;1.60652536330355;2.45995792369574;0.557114077799284;-1.61914546518366;-1.2777724410268;-2.03890997938537;0.0232757985163526;0.035640573313394;0.00807162795040764;-0.023458642158493;-0.0185127322396766;-0.0295403103848709;171.19069154;158.41648743;0.745;0.705;0.845;0.694;966.708;NA;95.57;0.727272727272727;15.73;0.00495859956957479;0.00458859018161279;0.00938442008062202;0.0143696944125081;0.00325434796008818;-0.00945813963725556;-0.00746402990450118;-0.0119101684854691;1;2;3;4;2;2;2;2;2;4;4;2;5;5;2;5;5;5;NA;NA;NA;NA;NA;NA;2;2;1;20 mil a 50 mil;FALSE
ALAMBARI;2018;2016;732;52854542;4884;1620347;15320.6;0;0;0.0117294;135942.42525178;27188.485050356;3.18904616549646;111461949;5.68296922804655e-05;0.000118364995525323;3.65850377786708e-05;0.000860357094680958;0;0.0117225732218793;3500758;NA;416;416;0.470588235294118;0.8;0.538461538461538;1.00904977375566;6.2;6.8;419.764705882353;0.00151687241265881;0.00168525445947164;0.000256537620659939;0.0421840372375051;0.0463935884078258;0.0106756674375334;0.0210019760861362;0.0226857965542645;0.00839862816614752;11.4692006579557;12.6137138485854;2.90255224527949;5.71011912845849;6.16792440471038;2.28345976338801;8.28015449245924;9.42466768308896;-0.28649392021697;2.52107296296203;2.97887823921392;-0.90558640210845;2.59643606983351;2.95532494482461;-0.0898368682512848;0.790541382008988;0.93409693200543;-0.283967793224929;21.50721506;20.70289971;0.712;0.682;0.805;0.658;159.6;Sorocaba;75.18;0.666852990497485;17.89;0.00440360668714169;0.00423892295454545;0.384994266777897;0.438209580217447;-0.0133208283554017;0.117219870444818;0.138505995820638;-0.0421061676085016;4;1;5;4;4;5;5;2;2;1;1;3;1;1;4;1;1;NA;1;1;NA;NA;NA;1;NA;NA;3;Até 20 mil;FALSE
ALFREDO MARCONDES;2018;2016;157;57869959;3891;458301;13073.3;0;0;0.01127162;135942.42525178;27188.485050356;3.06458271863294;120886188;6.16347096622051e-05;9.42993852557398e-05;1.0347758473341e-05;0.000734155738410543;0;0.011265111144049;3500808;NA;216;0;0.480985847694233;0.444517184942717;0.447312098703261;0.928297946397494;NA;NA;0;0.00155038759689922;0.00155038759689922;0;0.043382293147146;0.043382293147146;0.00462260322466538;0.0213310909055377;0.0213310909055377;0.00582721493654548;11.7949882868134;11.7949882868134;1.25681578667542;5.79960046192997;5.79960046192997;1.58433146187478;8.73040556818047;8.73040556818047;-1.80776693195752;2.73501774329704;2.73501774329704;-1.48025125675816;2.84880728299446;2.84880728299446;-0.589890075724219;0.892460081650883;0.892460081650883;-0.483018861836588;16.90806751;16.4045968;0.741;0.682;0.84;0.71;118.915;NA;83.65;1.60222752585521;12.57;0.00434542984065793;0.00421603618607042;0.516345558888797;0.516345558888797;-0.106917418616193;0.161758151348725;0.161758151348725;-0.0875470396532713;5;5;3;1;5;4;5;2;2;1;1;5;1;1;5;1;1;NA;1;1;NA;NA;NA;5;NA;NA;5;Até 20 mil;TRUE
