municipio;simulacao;nota_imputada;var_transf_total;var_transf_perc_cota2018;var_transf_perc_rc2018;var_transf_por_hab_abaixo_15anos;pop;receitas_correntes_2018
ADAMANTINA;sim_25_nota;FALSE;7,0427335304271;0,485358756472164;0,0408456792658874;1706,66169465465;33797;172,42297489
ADOLFO;sim_25_nota;FALSE;6,81696612351775;1,2359805375933;0,278174085491774;14029,9644721701;3557;24,50611498
AGUAI;sim_25_nota;FALSE;-2,07662668434285;-0,121126207307466;-0,022423248711797;-418,366762826293;32148;92,61042907
AGUAS DA PRATA;sim_25_nota;FALSE;5,65175359831152;1,39984592641672;0,220609437270716;5914,44980065753;7584;25,61882061
AGUAS DE LINDOIA;sim_25_nota;FALSE;6,53834234171805;1,11175646469599;0,0762224474220783;2697,17305098324;17266;85,77974813
AGUAS DE SANTA BARBARA;sim_25_nota;FALSE;10,2093687772427;1,59157067465665;0,287101383685761;11406,6087086213;5601;35,56015177
AGUAS DE SAO PEDRO;sim_25_nota;FALSE;14,2058548900176;7,34629956779217;0,528339311910539;44968,4856203444;2707;26,88774916
AGUDOS;sim_25_nota;FALSE;1,60652536330355;0,0232757985163526;0,00938442008062202;295,826963588566;34524;171,19069154
ALAMBARI;sim_25_nota;FALSE;8,28015449245924;2,59643606983351;0,384994266777897;9476,59769532899;4884;21,50721506
ALFREDO MARCONDES;sim_25_nota;TRUE;8,73040556818047;2,84880728299446;0,516345558888797;17849,9872687874;3891;16,90806751
ALTAIR;sim_25_nota;FALSE;2,03619629584344;0,392289253545603;0,0915401446529617;3388,7891087286;3815;22,24375222
ALTINOPOLIS;sim_25_nota;FALSE;5,30229831131416;0,407511991975264;0,0790322288308137;2251,41464971694;15607;67,09032998
ALTO ALEGRE;sim_25_nota;FALSE;6,32290861750666;1,41525381310768;0,314076231335439;12717,9943968141;4102;20,13176416
ALUMINIO;sim_25_nota;FALSE;1,83453982537507;0,0659664407703394;0,0246550531845651;618,308110272047;16839;74,40826883
ALVARES FLORENCE;sim_25_nota;FALSE;7,78138181424704;1,49305994079341;0,360851636962431;17022,69460397;3897;21,56393658
ALVARES MACHADO;sim_25_nota;FALSE;5,18641605550433;0,610018595582783;0,0757739700226373;1404,05177906901;23513;68,44587995
ALVARO DE CARVALHO;sim_25_nota;FALSE;5,15206138717542;1,88213637200683;0,281933441259771;9074,28493685842;4650;18,27403434
ALVINLANDIA;sim_25_nota;FALSE;8,05350072153359;3,84659316560614;0,498031690413372;15847,1088577993;3000;16,17065917
AMERICANA;sim_25_nota;FALSE;-10,671693750093;-0,0803843379395139;-0,0134067740613884;-396,42932892756;210638;795,99266022
AMERICO BRASILIENSE;sim_25_nota;FALSE;6,30263558593364;0,435361025725717;0,0604408656702928;1117,36955147289;34478;104,27771866
AMERICO DE CAMPOS;sim_25_nota;FALSE;3,92374303774054;0,816467546773994;0,157803202338715;4961,41505908383;5706;24,86478715
