municipio;simulacao;nota_imputada;var_transf_total;var_transf_perc_cota2018;var_transf_perc_rc2018;var_transf_por_hab_abaixo_15anos;pop;receitas_correntes_2018
TIMBURI;sim_10_evolucao_e_nota;FALSE;-2,15250210403205;-0,534416770990963;-0,108756108808596;-5383,80449150685;2646;19,79201102
SANTO ANTONIO DO ARACANGUA;sim_10_evolucao_e_nota;FALSE;-4,9715618634139;-0,305704220467839;-0,105301552476385;-4384,14670603037;7626;47,21261697
BARRA DO TURVO;sim_10_evolucao_e_nota;FALSE;-4,43764024401171;-0,517660843019012;-0,124534956380088;-2755,06005127864;7729;35,63369172
SANDOVALINA;sim_10_evolucao_e_nota;FALSE;-1,38700198627238;-0,0953399985478755;-0,0378637589631733;-2140,22114188639;3699;36,63138643
SUD MENNUCCI;sim_10_evolucao_e_nota;FALSE;-1,82817333843063;-0,170525654217735;-0,0451754068545584;-1641,43838359743;7435;40,46833146
ANHEMBI;sim_10_evolucao_e_nota;FALSE;-1,54911822503734;-0,17295573118392;-0,0428964427362849;-1542,98824135209;5653;36,11297642
ITAI;sim_10_evolucao_e_nota;FALSE;-5,91090870262033;-0,266342232485889;-0,0641270217034476;-1534,94884046868;24008;92,17500744
TEJUPA;sim_10_evolucao_e_nota;FALSE;-1,29327016072593;-0,314684125334639;-0,0615161009830653;-1358,90371538493;4809;21,02327911
CASTILHO;sim_10_evolucao_e_nota;FALSE;-3,74782557461123;-0,115028155971802;-0,0407221446370904;-1350,92690212141;18003;92,03409123
MIGUELOPOLIS;sim_10_evolucao_e_nota;FALSE;-4,39331835220585;-0,191547255395312;-0,0516192219640639;-1340,95935414391;20451;85,11012342
VITORIA BRASIL;sim_10_evolucao_e_nota;TRUE;3,1507288617894;2,1490849690998;0,235243549438561;14260,150252683;1737;13,39347612
ELISIARIO;sim_10_evolucao_e_nota;FALSE;5,67760430424195;2,434508439757;0,305345145501262;14442,4203913359;3120;18,59405459
TURIUBA;sim_10_evolucao_e_nota;FALSE;3,19188701956519;1,08305683721536;0,187410625369094;14912,7815263958;1930;17,03151576
DIRCE REIS;sim_10_evolucao_e_nota;TRUE;2,98731970069675;1,21578167085197;0,200680817641923;15313,3450757089;1689;14,8859255
SANTANA DA PONTE PENSA;sim_10_evolucao_e_nota;TRUE;2,85474741998371;1,40344610990884;0,202677552832524;16599,6077376932;1641;14,08516819
BALBINOS;sim_10_evolucao_e_nota;TRUE;3,34177909272737;1,44908187434782;0,252078080088024;17699,9136276489;3702;13,2569206
SANTA SALETE;sim_10_evolucao_e_nota;TRUE;3,02311016456021;1,75042470176788;0,20759863756147;17887,2097476132;1447;14,56228326
