municipio;var_transf_total;var_transf_perc_cota2018;var_transf_perc_rc2018;pop;receitas_correntes_2018;simulacao;nota_imputada;var_transf_por_hab_abaixo_15anos
BARRA DO TURVO;-4,437640244;-0,517660843;-0,124534956;7,729;35,63369172;sim_10_evolucao_e_nota;FALSE;-2755,060051
TIMBURI;-2,152502104;-0,534416771;-0,108756109;2,646;19,79201102;sim_10_evolucao_e_nota;FALSE;-5383,804492
SANTO ANTONIO DO ARACANGUA;-4,971561863;-0,30570422;-0,105301552;7,626;47,21261697;sim_10_evolucao_e_nota;FALSE;-4384,146706
ELDORADO;-3,713183802;-0,407826525;-0,071667993;14,641;51,81090826;sim_10_evolucao_e_nota;FALSE;-1167,12126
ITAI;-5,910908703;-0,266342232;-0,064127022;24,008;92,17500744;sim_10_evolucao_e_nota;FALSE;-1534,94884
PRESIDENTE EPITACIO;-6,752602485;-0,296816164;-0,061603973;41,318;109,6131003;sim_10_evolucao_e_nota;FALSE;-1038,310306
TEJUPA;-1,293270161;-0,314684125;-0,061516101;4,809;21,02327911;sim_10_evolucao_e_nota;FALSE;-1358,903715
CUNHA;-3,381669822;-0,332581825;-0,052181933;21,866;64,80537651;sim_10_evolucao_e_nota;FALSE;-923,8605114
MIGUELOPOLIS;-4,393318352;-0,191547255;-0,051619222;20,451;85,11012342;sim_10_evolucao_e_nota;FALSE;-1340,959354
TEODORO SAMPAIO;-3,798263325;-0,21236649;-0,048679884;21,386;78,02531549;sim_10_evolucao_e_nota;FALSE;-1019,547249
LOURDES;5,424026881;2,475387957;0,354163451;2,128;15,31503849;sim_10_evolucao_e_nota;FALSE;20165,22795
SAGRES;5,405625827;2,605946309;0,432017285;2,395;12,5125221;sim_10_evolucao_e_nota;FALSE;14080,13895
MACAUBAL;2,261460821;0,476381999;1,728047684;7,663;1,30867964;sim_10_evolucao_e_nota;TRUE;2526,663461
NHANDEARA;5,042579938;0,663925367;3,266160402;10,725;1,54388619;sim_10_evolucao_e_nota;FALSE;4258,791881
IPIGUA;2,901740692;0,877104894;4,004346073;4,463;0,72464783;sim_10_evolucao_e_nota;FALSE;4627,595488
MONCOES;2,894049474;0,716598773;8,510104324;2,132;0,34007215;sim_10_evolucao_e_nota;TRUE;11762,86038
SAO JOAO DE IRACEMA;4,300217282;1,632872998;8,514235087;1,78;0,50506208;sim_10_evolucao_e_nota;FALSE;18933,01259
