municipio;ano_distribuicao;ano_calculo;codigo;valor_adicionado;pop;receita_tributaria;area_cultivada;area_inundada;ind_protegida;ind_participacao;total_icms_estado;montante_disponivel;total_recebido_municipio;valor_adicionado_2anos;share_valor_adicionado_2anos;share_pop;share_receita_tributaria;share_area_cultivada;share_area_inundada;ind_participacao_calculado;Codmun7;matriculas_rede_municipal;aprovacao;reprovacao;abandono;taxa_part_p_brasil_2015;taxa_part_p_brasil_2017;taxa_part_ana_2014;taxa_part_ana_2016;pob_ed_mt_2015;inten_pob_ed_mt_2015;pob_ed_lp_2015;inten_pob_ed_lp_2015;pob_ed_mt_2017;inten_pob_ed_mt_2017;pob_ed_lp_2017;inten_pob_ed_lp_2017;pob_ed_lpo_2014;inten_pob_ed_lpo_2014;pob_ed_lpo_2016;inten_pob_ed_lpo_2016;dados_imputados;pob_ed_p_brasil_2015;pob_ed_p_brasil_2017;ia_p_brasil_2015;ia_p_brasil_2017;avanco_ia_p_brasil;ia_p_brasil_2015_norm;ia_p_brasil_2017_norm;ia_ana_2014;ia_ana_2016;avanco_ia_ana;ia_ana_2014_norm;ia_ana_2016_norm;ind_rendimento;log_matriculas_rede_municipal;ind_matriculas;ide;ide2;share_ide;share_ide2;ind_alt1;ind_alt2;transf_alt1;transf_alt2;ind_alt3;ind_alt4;transf_alt3;transf_alt4;var_transf_alt1;var_perc_transf_alt1;var_transf_alt2;var_perc_transf_alt2;var_transf_alt3;var_perc_transf_alt3;var_transf_alt4;var_perc_transf_alt4;receitas_correntes_2018;receitas_correntes_2017;IDH;IDHM_renda;IDHM_longevidade;IDHM_educacao;area_geografica;regiao_metrop;pop_urbana;faixa_5_a_9;faixa_10_a_14;faixa_15_a_19;faixa_20_a_24;faixa_25_a_29;faixa_30_a_39;faixa_40_a_49;faixa_50_a_59;faixa_60_a_69;faixa_70_ou_mais;idosos_sobre_jovens;fracao_pop_abaixo_15;receitas2018_pc;receitas2017_pc;quintil_area_cultivada;quintil_area_geografica;quintil_area_inundada;quintil_fracao_pop_abaixo_15;quintil_IDH;quintil_idosos_sobre_jovens;quintil_pop;quintil_pop_urbana;quintil_receitas_correntes_2018;quintil_receitas2017_pc;quintil_receitas2018_pc;quintil_var_perc_transf_alt1;quintil_var_perc_transf_alt2;quintil_var_perc_transf_alt3;quintil_var_perc_transf_alt4;quintil_ben_var_perc_transf_alt1;quintil_ben_var_perc_transf_alt2;quintil_ben_var_perc_transf_alt3;quintil_ben_var_perc_transf_alt4;quintil_prej_var_perc_transf_alt1;quintil_prej_var_perc_transf_alt2;quintil_prej_var_perc_transf_alt3;quintil_prej_var_perc_transf_alt4;faixa_pop
ADAMANTINA;2018;2016;150;443325699;33797;12031792;35589,9;0;0;0,05336953;135942,42525178;27188,485050356;14,5103666854953;833452383;0,000424941810916214;0,000819078983163258;0,000271660061002433;0,00199861774107971;0;0,0533985331328044;3500105;1360;98,8;1,2;0;0,936619718309859;0,975;0,943262411347518;0,892592592592593;0,0789473684210526;1,24370416541353;0,075187969924812;1,51863269172932;0,0586080586080586;0,907326487179487;0,0512820512820513;0,756414476190476;0,37593984962406;27,8492387744361;0,348547717842324;25,2907779253112;FALSE;0,0770676691729323;0,0549450549450549;0,86443661971831;0,921428571428571;0,559234707400797;0,674647887323944;0,828571428571429;0,588652482269504;0,581481481481481;0,425367111918232;0,566392809493715;0,491725113818137;0,0740740740740741;7,2152399787301;7,2152399787301;3,72356835446075;3,19075960673648;0,00179904911701898;0,00166467198442525;0,0667830048495817;0,0584532587118081;18,157287289707;15,8925555063059;0,0642970278965978;0,0571094873858708;17,4813878174897;15,5272044402424;3,64692060421178;0,251332077490315;1,3821888208106;0,0952552647888807;2,97102113199446;0,204751623193942;1,01683775474718;0,0700766408448951;172,42297489;159,53067366;0,79;0,772;0,852;0,75;411,987;NA;94,53;5,64;6,57;7,91;8,17;7,37;14,1;15,08;12,59;8,83;8,64;1,43079443079443;12,21;0,00510172426221262;0,00472026137408646;2;2;2;5;1;1;2;2;2;2;2;3;3;4;3;4;4;4;5;NA;NA;NA;NA;20 mil a 50 mil
ADOLFO;2018;2016;151;72823365;3557;585563;14775,8;65,1;0;0,02028591;135942,42525178;27188,485050356;5,51543160767867;194488121;9,91611950786537e-05;8,62048093946714e-05;1,32211461352363e-05;0,000829762826494191;0,0118593708157462;0,0202427681599387;3500204;257;95,1;4,9;0;1,06382978723404;0,980769230769231;0,813559322033898;0,980769230769231;0,02;0,76729606;0,04;0,90224036;0,0392156862745098;0,806052921568628;0,0588235294117647;0,719512098039216;0,520833333333333;30,4453065208333;0,411764705882353;22,3490084313725;FALSE;0,03;0,0490196078431373;0,97;0,932692307692308;0,412369590176209;0,928;0,853146853146853;0,389830508474576;0,576923076923077;0,713689934681948;0,220422889746602;0,483963710707897;0,302469135802469;5,54907608489522;5,54907608489522;2,65548234811115;2,95223466872246;0,00128300133604522;0,00154022958485983;0,031251941224547;0,0210791707480174;8,49692936778202;5,73110718756372;0,0360106638276173;0,0236514532361634;9,79075395130568;6,43047182730624;2,98149776010334;0,540573788631963;0,215675579885042;0,0391040258000435;4,27532234362701;0,775156442457709;0,915040219627564;0,165905460300447;24,50611498;23,6483337;0,73;0,71;0,844;0,648;211,055;NA;89,96;6,49;7,17;7,53;8,1;7,31;13,78;15,01;13,27;8,88;7,12;1,17130307467057;13,66;0,00688954596007872;0,00664839294349171;4;4;1;4;4;1;5;3;4;1;1;3;4;2;3;3;5;2;4;NA;NA;NA;NA;Até 20 mil
AGUAI;2018;2016;152;585210755;32148;9111508;42196;0;0;0,06305729;135942,42525178;27188,485050356;17,1443218648096;1077392123;0,000549316276673822;0,000779115044256367;0,00020572436916331;0,00236959570559624;0;0,063114716758947;3500303;1966;95,5;4,4;0,1;0,961070559610706;0,904392764857881;0,888888888888889;0,888143176733781;0,115987460815047;1,78887615987461;0,0846394984326019;0,957143347962383;0,0902777777777778;0,944073232638889;0,0416666666666667;0,656497336805556;0,519125683060109;30,1796318005464;0,456973293768546;24,8300914836795;FALSE;0,100313479623824;0,0659722222222222;0,86466222761214;0,844727964398507;0,439427494021598;0,675189346269135;0,661224649596743;0,427443837279903;0,482285463923685;0,517405242682541;0,285873805959831;0,322828240069397;0,280864197530864;7,58375630070711;7,58375630070711;3,42842106194011;3,34919874446786;0,00165644814250922;0,00174733229931111;0,0730773576019371;0,0656200262667879;19,8686264467979;17,8410910315853;0,0747587145027721;0,0665288678348068;20,3257619164245;18,0881912854375;2,72430458198824;0,158904190172732;0,69676916677567;0,0406413955751645;3,18144005161489;0,18556814767606;0,943869420627909;0,0550543455769628;92,61042907;83,89904311;0,715;0,703;0,858;0,606;474,554;NA;90,21;7,16;8,28;8,83;9,03;9,27;14,87;13,11;10,55;6,39;5,38;0,762305699481865;15,44;0,00288075242845589;0,00260977488832898;2;2;2;3;4;4;2;3;2;5;5;4;4;4;4;5;5;4;5;NA;NA;NA;NA;20 mil a 50 mil
AGUAS DA PRATA;2018;2016;154;93085496;7584;2741276;8764,2;0;0,055364;0,01484971;135942,42525178;27188,485050356;4,03741118337122;188174425;9,594211086156e-05;0,000183800189611804;6,18939560611175e-05;0,000492170127097036;0;0,0148445782458272;3500402;407;97,7;2,3;0;0,837209302325581;0,927536231884058;0,833333333333333;0,714285714285714;0,0833333333333333;2,04390575;0,0277777777777778;0,654207305555556;0,046875;0,8561050625;0,0625;1,0275059375;0,323076923076923;16,9383178;0,391933815925543;27,6027452307692;TRUE;0,0555555555555556;0,0546875;0,790697674418605;0,876811594202899;0,604590141130633;0,497674418604651;0,731225296442688;0,564102564102564;0,434332988624612;0,243408305847025;0,523673521198274;0,24118158362164;0,141975308641975;6,00881318544259;6,00881318544259;3,22910138896244;2,28356102439986;0,00156014646424262;0,0011913715010113;0,0367065516394721;0,0250076083051102;9,97995530499908;6,79918984548647;0,0298842148196928;0,0213198586727971;8,12506527866844;5,79654658801045;5,94254412162786;1,47186993143112;2,76177866211525;0,684046914391608;4,08765409529722;1,01244433862296;1,75913540463923;0,435708756116924;25,61882061;25,52518356;0,781;0,75;0,886;0,716;142,673;NA;89,28;5,88;6,72;7,67;7,81;7,21;13,55;14,39;12,78;8,89;9,7;1,47539682539683;12,6;0,00337800904667722;0,00336566238924051;5;5;2;5;1;1;4;3;4;4;4;1;1;2;2;1;1;2;2;NA;NA;NA;NA;Até 20 mil
AGUAS DE LINDOIA;2018;2016;153;146424081;17266;18948714;4196,7;0;0;0,02163082;135942,42525178;27188,485050356;5,88109226196942;264840799;0,000135031023999792;0,000418445948554511;0,000427833925416734;0,000235673578009189;0;0,0216491207101025;3500501;883;95,3;4,7;0;0,910798122065728;0,915966386554622;0,88785046728972;0,922279792746114;0,10126582278481;1,35904762658228;0,0759493670886076;0,829866537974684;0,0297619047619048;0,647852523809524;0,0297619047619048;0,842534226190476;0,421768707482993;32,7747667278912;0,368421052631579;30,8634504511278;FALSE;0,0886075949367089;0,0297619047619048;0,830094490996613;0,888705482192877;0,56175624845622;0,59222677839187;0,757175597511732;0,513382923262763;0,582492500681756;0,538581502640753;0,435416324390402;0,493446533552824;0,290123456790123;6,78332520060396;6,78332520060396;3,70717920357278;3,48112265181207;0,00179113066766424;0,00181615918058671;0,0458302477042733;0,0341624275918406;12,4605500456175;9,28824651864628;0,0462932751933389;0,0344127127210653;12,5864402052611;9,35629525358879;6,57945778364807;1,11874758812996;3,40715425667686;0,579340385239238;6,7053479432917;1,14015350288796;3,47520299161937;0,590911149973291;85,77974813;82,89553537;0,745;0,725;0,846;0,675;60,126;NA;99,1;6,31;7,73;7,62;7,84;8,54;15,44;14,15;11,44;7,61;7,48;1,07478632478632;14,04;0,00496813090061392;0,00480108510193444;5;5;2;4;3;2;3;1;2;2;2;2;1;1;1;2;1;2;1;NA;NA;NA;NA;Até 20 mil
AGUAS DE SANTA BARBARA;2018;2016;607;134507060;5601;7121638;28932,8;0;0,299658;0,02359326;135942,42525178;27188,485050356;6,41464996799162;297370105;0,000151616329269101;0,000135741674843844;0,000160796048794497;0,00162477577568667;0;0,0235648555622526;3500550;428;99,3;0,7;0;1;0,979381443298969;0,952380952380952;0,952941176470588;0,0769230769230769;1,04082421794872;0,0512820512820513;0,631350923076923;0,0315789473684211;0,235258821052632;0,0736842105263158;1,03961198947368;0,3375;19,3612337875;0,481481481481481;26,3964733333333;FALSE;0,0641025641025641;0,0526315789473684;0,935897435897436;0,927835051546392;0,457917117169042;0,846153846153846;0,842549203373946;0,630952380952381;0,494117647058824;0,232922312895975;0,639998821310702;0,34297439906195;0,0432098765432099;6,0591231955818;6,0591231955818;2,73813041314038;2,02645051342998;0,001322932905513;0,00105723270108128;0,03830854973994;0,0282174242792522;10,4155143190518;7,67189018176001;0,0333930959579532;0,025560422234935;9,07907690237914;6,94949157815318;4,00086435106016;0,623707352860096;1,25724021376839;0,195995139258085;2,66442693438752;0,415365912042388;0,534841610161554;0,0833781442214857;35,56015177;33,13683034;0,757;0,744;0,84;0,695;404,463;NA;76,04;6,87;9,11;7,96;7,18;7,66;14,5;13,64;11,59;8,11;6,47;0,912390488110138;15,98;0,00634889337082664;0,00591623466166756;2;2;2;2;2;3;4;4;3;1;1;2;3;3;3;3;3;3;4;NA;NA;NA;NA;Até 20 mil
AGUAS DE SAO PEDRO;2018;2016;155;33596882;2707;5687862;29;0;0;0,00711236;135942,42525178;27188,485050356;1,9337429353275;64833083;3,30556229236928e-05;6,56048408859644e-05;0,000128423508143543;1,62854951801808e-06;0;0,00711286865678841;3500600;229;99,1;0,9;0;0,911111111111111;1,0188679245283;0,930232558139535;0,857142857142857;0;0;0;0;0;0;0;0;0,225;12,1453867;0,219512195121951;17,132207804878;FALSE;0;0;0,911111111111111;1;0,608911961929483;0,786666666666667;1;0,72093023255814;0,668989547038327;0,358920675631482;0,796569191802901;0,640721404841006;0,0555555555555556;5,43372200355424;5,43372200355424;3,1323140850974;2,52957713838897;0,00151338349469797;0,00131972217080485;0,0312473074200507;0,0189411888626486;8,49566950653925;5,14982230228091;0,027664572928028;0,0170045756237174;7,52157827478172;4,6232865013309;6,56192657121175;3,39338101840327;3,21607936695341;1,66313697037954;5,58783533945422;2,88964744867076;2,6895435660034;1,39084855430792;26,88774916;23,50748574;0,854;0,849;0,89;0,825;3,612;NA;100;5,02;6,65;7,43;5,54;6,39;13,56;14,37;11,9;11,86;12,47;2,08483290488432;11,67;0,00993267423716291;0,00868396222386406;5;5;2;5;1;1;5;1;4;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;Até 20 mil
AGUDOS;2018;2016;156;2759115788;34524;7622368;79694,8;0;0,092251;0,25386217;135942,42525178;27188,485050356;69,0212781389593;5801602112;0,00295798939204498;0,00083669801505247;0,000172101791309473;0,00447541131477749;0;0,253533041085779;3500709;2360;97,5;2,5;0;0,949760765550239;0,924568965517241;0,812048192771084;0,883239171374765;0,118387909319899;1,88143870780856;0,0629722921914358;0,931552201511335;0,10955710955711;2,15568282517483;0,048951048951049;0,974991382284382;0,438805970149254;33,2693600656716;0,447941888619855;34,3898901937046;FALSE;0,0906801007556675;0,0792540792540792;0,863636363636364;0,851293103448276;0,451249951686301;0,672727272727273;0,675548589341693;0,45571659773422;0,487599348846117;0,483330053871537;0,335071208433557;0,331875967719718;0,154320987654321;7,76641689801966;7,76641689801966;3,39177977119108;3,1996135199064;0,00163874483334625;0,00166929121715447;0,253659849568136;0,246842451612639;68,9662702785882;67,1127230546346;0,254224957668588;0,247147915450721;69,119914609998;67,1957740445859;-0,0550078603711199;-0,000796969599148447;-1,90855508432472;-0,0276516914172794;0,0986364710386454;0,00142907337705428;-1,82550409437349;-0,0264484249436562;171,19069154;158,41648743;0,745;0,705;0,845;0,694;966,708;NA;95,57;7,08;8,65;8,95;8,91;8,66;15,77;13,16;10,66;6,31;5,13;0,727272727272727;15,73;0,00495859956957479;0,00458859018161279;1;1;2;2;3;4;2;2;2;2;2;5;5;5;5;NA;NA;5;NA;1;2;NA;2;20 mil a 50 mil
ALAMBARI;2018;2016;732;52854542;4884;1620347;15320,6;0;0;0,0117294;135942,42525178;27188,485050356;3,18904616549646;111461949;5,68296922804655e-05;0,000118364995525323;3,65850377786708e-05;0,000860357094680958;0;0,0117225732218793;3500758;424;96,7;3,3;0;0,844827586206897;0,880597014925373;0,839506172839506;0,982758620689655;0,0408163265306122;1,4035876122449;0;0;0,0169491525423729;0,0258322372881356;0,0508474576271186;0,965564711864407;0,455882352941176;33,0213925588235;0,298245614035088;13,4644640350877;FALSE;0,0204081632653061;0,0338983050847458;0,827586206896552;0,850746268656716;0,506543898912651;0,586206896551724;0,674355495251018;0,45679012345679;0,689655172413793;0,781624704113887;0,336939249480504;0,675907893229465;0,203703703703704;6,04973345523196;6,04973345523196;2,90107816539541;3,40126698982943;0,00140166142125609;0,00177449716285915;0,0304124734409446;0,0195044538222331;8,26869079493471;5,30296551161143;0,0373099346606012;0,0232328112382637;10,1440060074952;6,31664941029275;5,07964462943825;1,59284135939985;2,11391934611497;0,66286884429153;6,9549598419987;2,18089029793521;3,1276032447963;0,980733135391724;21,50721506;20,70289971;0,712;0,682;0,805;0,658;159,6;Sorocaba;75,18;8,25;9,64;8,52;8,78;9,13;14,41;11,83;10,38;6,59;5,34;0,666852990497485;17,89;0,00440360668714169;0,00423892295454545;4;4;2;1;5;4;4;5;5;2;2;1;1;1;1;1;1;1;1;NA;NA;NA;NA;Até 20 mil
ALFREDO MARCONDES;2018;2016;157;57869959;3891;458301;13073,3;0;0;0,01127162;135942,42525178;27188,485050356;3,06458271863294;120886188;6,16347096622051e-05;9,42993852557398e-05;1,0347758473341e-05;0,000734155738410543;0;0,011265111144049;3500808;0;98;1,9;0;1,03030303030303;1,02777777777778;0,907407407407407;1;0,0934215789665079;1,46604905985346;0,0627458293774583;0,913802343232861;0,0756914119359534;1,40601231868132;0,0512820512820513;0,779133773790952;0,404328018223235;27,654169038961;0,391933815925543;27,6027452307692;TRUE;0,0780837041719831;0,0634867316090024;0,921916295828017;0,936513268390998;0,49320748484825;0,812599109987241;0,861483494671268;0,540517168649287;0,608066184074457;0,536265341968295;0,482632597921903;0,536989765243054;0,117283950617284;-18,4206807439524;0;0;0;0;0;0,00468468977550543;0,00548623455017921;1,27369617926885;1,49162406050294;0,00468468977550543;0,00548623455017921;1,27369617926885;1,49162406050294;-1,79088653936409;-0,58438185677787;-1,57295865813;-0,51327009336908;-1,79088653936409;-0,58438185677787;-1,57295865813;-0,51327009336908;16,90806751;16,4045968;0,741;0,682;0,84;0,71;118,915;NA;83,65;5,99;6,58;7,53;7,89;6,43;14,03;14,37;12,13;10,41;9,73;1,60222752585521;12,57;0,00434542984065793;0,00421603618607042;4;5;2;5;3;1;5;4;5;2;2;5;5;5;5;NA;NA;NA;NA;5;5;5;5;Até 20 mil
