municipio;ano_distribuicao;ano_calculo;codigo;valor_adicionado;pop;receita_tributaria;area_cultivada;area_inundada;ind_protegida;ind_participacao;total_icms_estado;montante_disponivel;total_recebido_municipio;valor_adicionado_2anos;share_valor_adicionado_2anos;share_pop;share_receita_tributaria;share_area_cultivada;share_area_inundada;ind_participacao_calculado;Codmun7;nota_ideb;matriculas_rede_publica;matriculas_rede_municipal;nota_ideb_imp_norm;evolucao_ideb;evolucao_ideb_norm;evolucao_e_nota;log_matriculas_rede_municipal;nota_X_matriculas_publica;nota_X_log_matriculas_publica;evolucao_X_matriculas_publica;evolucao_X_log_matriculas_publica;evolucao_e_nota_X_matriculas_publica;evolucao_e_nota_X_log_matriculas_publica;nota_X_matriculas_municipal;nota_X_log_matriculas_municipal;evolucao_X_matriculas_municipal;evolucao_X_log_matriculas_municipal;evolucao_e_nota_X_matriculas_municipal;evolucao_e_nota_X_log_matriculas_municipal;share_evolucao;share_evolucao_e_nota;share_evolucao_e_nota_X_log_matriculas_municipal;share_evolucao_e_nota_X_log_matriculas_publica;share_evolucao_e_nota_X_matriculas_municipal;share_evolucao_e_nota_X_matriculas_publica;share_evolucao_X_log_matriculas_municipal;share_evolucao_X_log_matriculas_publica;share_evolucao_X_matriculas_municipal;share_evolucao_X_matriculas_publica;share_nota;share_nota_X_log_matriculas_municipal;share_nota_X_log_matriculas_publica;share_nota_X_matriculas_municipal;share_nota_X_matriculas_publica;nota_ideb_2015;nota_ideb_2017;receitas_correntes_2018;receitas_correntes_2017;IDH;IDHM_renda;IDHM_longevidade;IDHM_educacao;area_geografica;regiao_metrop;pop_urbana;faixa_5_a_9;faixa_10_a_14;faixa_15_a_19;faixa_20_a_24;faixa_25_a_29;faixa_30_a_39;faixa_40_a_49;faixa_50_a_59;faixa_60_a_69;faixa_70_ou_mais;share_rcl_2017;ind_secretaria;transf_secretaria;var_transf_secretaria;var_perc_transf_secretaria;var_transf_perc_rc2017_secretaria;idosos_sobre_jovens;fracao_pop_abaixo_15;receitas2018_pc;receitas2017_pc;quintil_area_cultivada;quintil_area_geografica;quintil_area_inundada;quintil_fracao_pop_abaixo_15;quintil_IDH;quintil_idosos_sobre_jovens;quintil_pop;quintil_pop_urbana;quintil_receitas_correntes_2018;quintil_receitas2017_pc;quintil_receitas2018_pc;quintil_var_perc_transf_secretaria;quintil_ben_var_perc_transf_secretaria;quintil_prej_var_perc_transf_secretaria;faixa_pop;nota_imputada
ADAMANTINA;2018;2016;150;443325699;33797;12031792;35589,9;0;0;0,05336953;135942,42525178;27188,485050356;14,5103666854953;833452383;0,000424941810916214;0,000819078983163258;0,000271660061002433;0,00199861774107971;0;0,0533985331328044;3500105;NA;1384;1384;0,588235294117647;0,899999999999999;0,564102564102564;1,15233785822021;7,23273313617761;814,117647058823;4,25454890363389;780,717948717949;4,08000330758737;1594,83559577677;8,33455221122126;814,117647058823;4,25454890363389;780,717948717949;4,08000330758737;1594,83559577677;8,33455221122126;0,00195518435852513;0,00192456563084653;0,0020676216555059;0,00201930011500063;0,000974677773883678;0,000724809041949012;0,00209443350510802;0,00204506321366871;0,000941412957571301;0,000678776121003389;0,00189609051582351;0,00204254675607808;0,00199519639867946;0,00100886346367101;0,000775226082452135;6,6;6,9;172,42297489;159,53067366;0,79;0,772;0,852;0,75;411,987;NA;94,53;5,64;6,57;7,91;8,17;7,37;14,1;15,08;12,59;8,83;8,64;0,000972147279684242;0,0557350583136696;15,1535179974193;0,643151311923992;0,0443235740256581;0,00403152131918348;1,43079443079443;12,21;0,00510172426221262;0,00472026137408646;2;2;2;5;1;1;2;2;2;2;2;2;4;NA;20 mil a 50 mil;FALSE
ADOLFO;2018;2016;151;72823365;3557;585563;14775,8;65,1;0;0,02028591;135942,42525178;27188,485050356;5,51543160767867;194488121;9,91611950786537e-05;8,62048093946714e-05;1,32211461352363e-05;0,000829762826494191;0,0118593708157462;0,0202427681599387;3500204;NA;241;241;0,470588235294118;0,3;0,41025641025641;0,880844645550528;5,48479693349065;113,411764705882;2,58108090987796;98,8717948717949;2,25017310091924;212,283559577677;4,8312540107972;113,411764705882;2,58108090987796;98,8717948717949;2,25017310091924;212,283559577677;4,8312540107972;0,00142195226074555;0,00147113393771515;0,00119852934660665;0,00117051900718377;0,000129736298731468;9,64770562222632e-05;0,00115510640054969;0,00112787806434352;0,00011922255532038;8,59616632484587e-05;0,00151687241265881;0,00123913922699146;0,00121041347807526;0,000140541095228158;0,000107993922468766;6,2;6,5;24,50611498;23,6483337;0,73;0,71;0,844;0,648;211,055;NA;89,96;6,49;7,17;7,53;8,1;7,31;13,78;15,01;13,27;8,88;7,12;0,000144108106285046;0,0166315452030145;4,52186518116481;-0,993566426513865;-0,180143005513948;-0,0420142255736972;1,17130307467057;13,66;0,00688954596007872;0,00664839294349171;4;4;1;4;4;1;5;3;4;1;1;4;NA;3;Até 20 mil;FALSE
AGUAI;2018;2016;152;585210755;32148;9111508;42196;0;0;0,06305729;135942,42525178;27188,485050356;17,1443218648096;1077392123;0,000549316276673822;0,000779115044256367;0,00020572436916331;0,00236959570559624;0;0,063114716758947;3500303;NA;2227;1972;0,176470588235294;0;0,333333333333333;0,509803921568628;7,58680353516258;393;1,36030776481012;742,333333333333;2,56947022241912;1135,33333333333;3,92977798722925;348;1,33884768267575;657,333333333333;2,52893451172086;1005,33333333333;3,86778219439661;0,00115533621185576;0,000851443957102262;0,000959512883385338;0,000952108876449905;0,000614405684159024;0,000515977864931786;0,00129820609795149;0,00128792273788469;0,000792632113120661;0,000645403556199722;0,000568827154747054;0,000642761207609175;0,000637924540278928;0,000431245393863994;0,000374225827808;5,2;6,1;92,61042907;83,89904311;0,715;0,703;0,858;0,606;474,554;NA;90,21;7,16;8,28;8,83;9,03;9,27;14,87;13,11;10,55;6,39;5,38;0,00051126360001041;0,0556328075075411;15,1257175522811;-2,01860431252849;-0,117741858117577;-0,024059920562883;0,762305699481865;15,44;0,00288075242845589;0,00260977488832898;2;2;2;3;4;4;2;3;2;5;5;3;NA;2;20 mil a 50 mil;FALSE
AGUAS DA PRATA;2018;2016;154;93085496;7584;2741276;8764,2;0;0,055364;0,01484971;135942,42525178;27188,485050356;4,03741118337122;188174425;9,594211086156e-05;0,000183800189611804;6,18939560611175e-05;0,000492170127097036;0;0,0148445782458272;3500402;NA;394;394;0,352941176470588;-0,100000000000001;0,307692307692308;0,660633484162896;5,97635090929793;139,058823529412;2,10930032092868;121,230769230769;1,8388772028609;260,289592760181;3,94817752378958;139,058823529412;2,10930032092868;121,230769230769;1,8388772028609;260,289592760181;3,94817752378958;0,00106646419555916;0,00110335045328636;0,000979457221106403;0,000956566726775952;0,000159075005291073;0,000118294481799497;0,000943971299799912;0,00092171987092055;0,000146183672602375;0,000105401126514189;0,00113765430949411;0,00101264426045908;0,000989169122126156;0,000172323210124152;0,000132415784603818;5,8;6,5;25,61882061;25,52518356;0,781;0,75;0,886;0,716;142,673;NA;89,28;5,88;6,72;7,67;7,81;7,21;13,55;14,39;12,78;8,89;9,7;0,000155545245262239;0,0110718173840753;3,01025941427203;-1,02715176909919;-0,254408511406937;-0,0402407201767913;1,47539682539683;12,6;0,00337800904667722;0,00336566238924051;5;5;2;5;1;1;4;3;4;4;4;4;NA;4;Até 20 mil;FALSE
AGUAS DE LINDOIA;2018;2016;153;146424081;17266;18948714;4196,7;0;0;0,02163082;135942,42525178;27188,485050356;5,88109226196942;264840799;0,000135031023999792;0,000418445948554511;0,000427833925416734;0,000235673578009189;0;0,0216491207101025;3500501;NA;1004;844;0,441176470588235;0,199999999999999;0,384615384615384;0,82579185520362;6,73815249459596;442,941176470588;3,0493002795228;386,153846153846;2,65836434625064;829,095022624434;5,70766462577344;372,352941176471;2,97271433585116;324,615384615384;2,59159711330614;696,968325791855;5,56431144915729;0,00133308024444895;0,00137918806660795;0,00138038499954051;0,00138285627627264;0,000425949570005286;0,000376800950909565;0,00133037338860867;0,00133248007984102;0,000391430899988593;0,00033573201465814;0,00142206788686763;0,00142715671178523;0,00142998777872778;0,000461423824063401;0,000421781242837036;6,1;6,8;85,77974813;82,89553537;0,745;0,725;0,846;0,675;60,126;NA;99,1;6,31;7,73;7,62;7,84;8,54;15,44;14,15;11,44;7,61;7,48;0,00050514842919591;0,0210382844202577;5,71999081445313;-0,161101447516283;-0,0273931168463483;-0,0019434273124266;1,07478632478632;14,04;0,00496813090061392;0,00480108510193444;5;5;2;4;3;2;3;1;2;2;2;2;NA;1;Até 20 mil;FALSE
AGUAS DE SANTA BARBARA;2018;2016;607;134507060;5601;7121638;28932,8;0;0,299658;0,02359326;135942,42525178;27188,485050356;6,41464996799162;297370105;0,000151616329269101;0,000135741674843844;0,000160796048794497;0,00162477577568667;0;0,0235648555622526;3500550;NA;415;415;0,61764705882353;0,600000000000001;0,487179487179487;1,10482654600302;6,0282785202307;256,323529411765;3,72334849778955;202,179487179487;2,93685363806111;458,503016591252;6,66020213585066;256,323529411765;3,72334849778955;202,179487179487;2,93685363806111;458,503016591252;6,66020213585066;0,00168856830963534;0,00184521508454854;0,00165225171276642;0,00161363761339735;0,000280212393499063;0,00020837704718045;0,00150760776289441;0,00147207021326643;0,000243794047899688;0,000175780009002619;0,00199089504161469;0,0017875252037678;0,00174608676080164;0,000317638912062602;0,000244078587737368;6,7;6,9;35,56015177;33,13683034;0,757;0,744;0,84;0,695;404,463;NA;76,04;6,87;9,11;7,96;7,18;7,66;14,5;13,64;11,59;8,11;6,47;0,000201929063128293;0,017766728353685;4,830504282379;-1,58414568561262;-0,246957463543191;-0,0478061923653686;0,912390488110138;15,98;0,00634889337082664;0,00591623466166756;2;2;2;2;2;3;4;4;3;1;1;4;NA;3;Até 20 mil;FALSE
AGUAS DE SAO PEDRO;2018;2016;155;33596882;2707;5687862;29;0;0;0,00711236;135942,42525178;27188,485050356;1,9337429353275;64833083;3,30556229236928e-05;6,56048408859644e-05;0,000128423508143543;1,62854951801808e-06;0;0,00711286865678841;3500600;NA;232;232;0,705882352941177;0,3;0,41025641025641;1,11613876319759;5,44673737166631;163,764705882353;3,84475579176445;95,1794871794872;2,23455892170926;258,94419306184;6,07931471347371;163,764705882353;3,84475579176445;95,1794871794872;2,23455892170926;258,94419306184;6,07931471347371;0,00142195226074555;0,00186410807176235;0,00150814614074774;0,00147289987379462;0,00015825276932742;0,000117683034532471;0,00114709100016231;0,00112005160414075;0,000114770260723354;8,27514766541179e-05;0,00227530861898821;0,00184581107145658;0,00180302144440706;0,000202939008877174;0,000155941431614649;7;7,4;26,88774916;23,50748574;0,854;0,849;0,89;0,825;3,612;NA;100;5,02;6,65;7,43;5,54;6,39;13,56;14,37;11,9;11,86;12,47;0,000143249807639263;0,00626634679766981;1,70372476228792;-0,230018173039581;-0,118949716033804;-0,00978489046355925;2,08483290488432;11,67;0,00993267423716291;0,00868396222386406;5;5;2;5;1;1;5;1;4;1;1;3;NA;2;Até 20 mil;FALSE
AGUDOS;2018;2016;156;2759115788;34524;7622368;79694,8;0;0,092251;0,25386217;135942,42525178;27188,485050356;69,0212781389593;5801602112;0,00295798939204498;0,00083669801505247;0,000172101791309473;0,00447541131477749;0;0,253533041085779;3500709;NA;2267;2267;0,470588235294118;0,7;0,512820512820513;0,983408748114631;7,72621265050753;1066,82352941176;3,63586477670943;1162,5641025641;3,96216033359361;2229,38763197587;7,59802511030303;1066,82352941176;3,63586477670943;1162,5641025641;3,96216033359361;2229,38763197587;7,59802511030303;0,00177744032593194;0,00164243035512034;0,00188490525453655;0,00184085390434724;0,00136248186334197;0,00101319554062147;0,00203393985976829;0,00198599553334213;0,00140185442381381;0,00101076291796813;0,00151687241265881;0,00174552554769399;0,00170506074154657;0,00132201934805906;0,00101585984330577;6,2;6,5;171,19069154;158,41648743;0,745;0,705;0,845;0,694;966,708;NA;95,57;7,08;8,65;8,95;8,91;8,66;15,77;13,16;10,66;6,31;5,13;0,000965357656800404;0,252847264816003;68,745340794733;-0,275937344226392;-0,00399785909021928;-0,00174184738408823;0,727272727272727;15,73;0,00495859956957479;0,00458859018161279;1;1;2;2;3;4;2;2;2;2;2;2;NA;1;20 mil a 50 mil;FALSE
ALAMBARI;2018;2016;732;52854542;4884;1620347;15320,6;0;0;0,0117294;135942,42525178;27188,485050356;3,18904616549646;111461949;5,68296922804655e-05;0,000118364995525323;3,65850377786708e-05;0,000860357094680958;0;0,0117225732218793;3500758;NA;416;416;0,470588235294118;0,8;0,538461538461538;1,00904977375566;6,03068526026126;195,764705882353;2,8379695342406;224;3,2472920632176;419,764705882353;6,0852615974582;195,764705882353;2,8379695342406;224;3,2472920632176;419,764705882353;6,0852615974582;0,00186631234222853;0,00168525445947164;0,0015096214336966;0,00147434068827504;0,000256537620659939;0,000190771547312004;0,00166696857461522;0,00162767454873748;0,000270105872219617;0,000194751320056674;0,00151687241265881;0,00136246770158418;0,0013308829496454;0,000242593757738231;0,000186412745838201;6,2;6,8;21,50721506;20,70289971;0,712;0,682;0,805;0,658;159,6;Sorocaba;75,18;8,25;9,64;8,52;8,78;9,13;14,41;11,83;10,38;6,59;5,34;0,000126159234289616;0,00976512830898148;2,65499045043551;-0,534055715060946;-0,167465658176763;-0,0257961794020083;0,666852990497485;17,89;0,00440360668714169;0,00423892295454545;4;4;2;1;5;4;4;5;5;2;2;4;NA;3;Até 20 mil;FALSE
ALFREDO MARCONDES;2018;2016;157;57869959;3891;458301;13073,3;0;0;0,01127162;135942,42525178;27188,485050356;3,06458271863294;120886188;6,16347096622051e-05;9,42993852557398e-05;1,0347758473341e-05;0,000734155738410543;0;0,011265111144049;3500808;NA;216;0;0,480985847694233;0,444517184942717;0,447312098703261;0,928297946397494;0;103,892943101954;2,58543284151248;96,6194133199043;2,40442706565553;200,512356421859;4,989859907168;0;0;0;0;0;0;0,00155038759689922;0,00155038759689922;0;0,00120894613520034;0;9,11273671981725e-05;0;0,0012051964106934;0;8,40033852105034e-05;0,00155038759689922;0;0,00121245434269362;0;9,89298285896648e-05;NA;NA;16,90806751;16,4045968;0,741;0,682;0,84;0,71;118,915;NA;83,65;5,99;6,58;7,53;7,89;6,43;14,03;14,37;12,13;10,41;9,73;9,99662559403802e-05;0,00522240076030766;1,41989164998593;-1,64469106864701;-0,536677002923479;-0,100257939204395;1,60222752585521;12,57;0,00434542984065793;0,00421603618607042;4;5;2;5;3;1;5;4;5;2;2;5;NA;5;Até 20 mil;TRUE
