municipio;nota_imputada;var_transf_secretaria;var_perc_transf_secretaria;var_transf_perc_rc2017_secretaria;pop;receitas_correntes_2017
ADAMANTINA;FALSE;0,643151311923992;0,0443235740256581;0,00403152131918348;33797;159,53067366
ADOLFO;FALSE;-0,993566426513865;-0,180143005513948;-0,0420142255736972;3557;23,6483337
AGUAI;FALSE;-2,01860431252849;-0,117741858117577;-0,024059920562883;32148;83,89904311
AGUAS DA PRATA;FALSE;-1,02715176909919;-0,254408511406937;-0,0402407201767913;7584;25,52518356
AGUAS DE LINDOIA;FALSE;-0,161101447516283;-0,0273931168463483;-0,0019434273124266;17266;82,89553537
AGUAS DE SANTA BARBARA;FALSE;-1,58414568561262;-0,246957463543191;-0,0478061923653686;5601;33,13683034
AGUAS DE SAO PEDRO;FALSE;-0,230018173039581;-0,118949716033804;-0,00978489046355925;2707;23,50748574
AGUDOS;FALSE;-0,275937344226392;-0,00399785909021928;-0,00174184738408823;34524;158,41648743
ALAMBARI;FALSE;-0,534055715060946;-0,167465658176763;-0,0257961794020083;4884;20,70289971
ALFREDO MARCONDES;TRUE;-1,64469106864701;-0,536677002923479;-0,100257939204395;3891;16,4045968
ALTAIR;FALSE;-1,69062696384998;-0,325712600021237;-0,0792988745610497;3815;21,31968421
ALTINOPOLIS;FALSE;-2,3416272519153;-0,179967465024626;-0,034248943846778;15607;68,37078721
ALTO ALEGRE;FALSE;-1,87394847084292;-0,419445049638179;-0,0947565029516746;4102;19,77646296
ALUMINIO;FALSE;-0,580321257517085;-0,020867210039413;-0,00770471104829452;16839;75,32031427
ALVARES FLORENCE;FALSE;-1,8468933072274;-0,354374387193275;-0,0917396068300097;3897;20,13190781
ALVARES MACHADO;FALSE;-0,665015188901732;-0,0782181042233423;-0,0106721210150205;23513;62,31331035
ALVARO DE CARVALHO;FALSE;-1,06476812953574;-0,388978056306043;-0,0600555116757278;4650;17,72973204
ALVINLANDIA;FALSE;-0,829324081361461;-0,396110021435512;-0,0559077044843426;3000;14,8338067
AMERICANA;FALSE;-2,68428764111539;-0,0202193475490617;-0,0035215856894483;210638;762,23834313
AMERICO BRASILIENSE;FALSE;3,44351082591981;0,237864046688014;0,0350983278665581;34478;98,11039543
AMERICO DE CAMPOS;FALSE;-1,66163014110447;-0,34575839240852;-0,0737179732728406;5706;22,54036658
AMPARO;FALSE;-0,197794770801224;-0,00302460679263063;-0,000774952389740981;65829;255,23473883
ANALANDIA;FALSE;-1,7458655244075;-0,238765464410878;-0,0656597024529389;4293;26,58960457
ANDRADINA;FALSE;-1,6694058725545;-0,038490303217571;-0,0102074685256915;55334;163,54749156
ANGATUBA;FALSE;-1,70565842424416;-0,0752608005664659;-0,021262623099663;22210;80,21862666
ANHEMBI;FALSE;-2,49724367212989;-0,278811906203759;-0,0810396113871971;5653;30,8150993
ANHUMAS;FALSE;-1,59600636137405;-0,405881849320916;-0,0848650246796186;3738;18,80640897
APARECIDA;FALSE;2,62639388487523;0,222816413073371;0,0240288627722663;35007;109,3016307
APARECIDA D'OESTE;FALSE;-1,1577958243102;-0,390557538416579;-0,0626003352990621;4450;18,4950419
APIAI;FALSE;-2,00547379438837;-0,158156903333624;-0,028254664683716;25191;70,97850273
