municipio;nota_imputada;var_transf_secretaria;var_perc_transf_secretaria;var_transf_perc_rc2017_secretaria;pop;receitas_correntes_2017
IPORANGA;FALSE;-5,10188205163691;-0,786707225594332;-0,230397706629666;4299;22,14380571
ITAOCA;TRUE;-1,38841774284169;-0,778134335463958;-0,0942221303181009;3228;14,73558004
RIBEIRA;TRUE;-1,92391033966233;-0,750028399936778;-0,110664827857387;3358;17,38502085
BARRA DO TURVO;FALSE;-6,39094366369938;-0,745518136379355;-0,188900836113429;7729;33,83226774
PRESIDENTE ALVES;TRUE;-2,56679751076749;-0,704369746568245;-0,161964212631487;4123;15,84793004
FLORA RICA;TRUE;-1,74186018335706;-0,692270447222867;-0,13068039740814;1752;13,32916197
PRACINHA;TRUE;-1,02075938315027;-0,671425165979803;-0,0827869612259608;2858;12,32995351
ASPASIA;TRUE;-1,11642286019632;-0,66556784937214;-0,0800230212856714;1809;13,95127105
SANTA SALETE;TRUE;-1,13237215749344;-0,655659929071441;-0,0883504941269895;1447;12,81681748
RIBEIRAO DOS INDIOS;TRUE;-1,50473079278729;-0,640980999571452;-0,10013807203546;2187;15,02656045
ITAQUAQUECETUBA;FALSE;32,582021379989;0,35541197689023;0,0539474551887017;321770;603,95844931
PERUIBE;FALSE;6,30106346456238;0,376805060817388;0,0272963032530964;59773;230,83944394
DUMONT;FALSE;2,12668949879928;0,389799793240541;0,0734258095327926;8143;28,96378688
BARRINHA;FALSE;3,428235855462;0,422272525720737;0,0429941241669507;28496;79,73731113
ILHABELA;FALSE;4,81457946469371;0,423022068804896;0,0078022971259983;28196;617,07204775
SERRANA;FALSE;6,11332213286446;0,446397267894216;0,0502958843713346;38878;121,54716453
FERRAZ DE VASCONCELOS;FALSE;19,3084572683862;0,466447636905906;0,059652198279606;168306;323,6839182
ITANHAEM;FALSE;12,0392120514709;0,531841572150446;0,0320141106910189;87057;376,05954973
MONGAGUA;FALSE;7,49334169094091;0,565187026541323;0,0360181017856833;46293;208,0437702
FRANCISCO MORATO;FALSE;20,5000094449768;0,848582597709196;0,069181691913181;154472;296,32130811
