municipio;nota_imputada;var_transf_secretaria;var_perc_transf_secretaria;var_transf_perc_rc2017_secretaria;pop;receitas_correntes_2017
SAO PAULO;FALSE;-487,257661352768;-0,0861719416481638;-0,00955955606693604;11253503;50970,74152199
CAMPINAS;FALSE;-83,4360346496987;-0,115484366205586;-0,0196553193853865;1080113;4244,95949487
MAUA;FALSE;-30,1742551012111;-0,119340569552351;-0,0312941716836081;417064;964,21325371
RIBEIRAO PRETO;FALSE;-23,968977289943;-0,0606751969920852;-0,00945291717493601;604682;2535,61697901
CARAPICUIBA;FALSE;-18,8230027645983;-0,248886765051033;-0,0403497077419228;369584;466,49663202
BAURU;FALSE;-12,7093058759808;-0,0829541453320736;-0,0115695309254967;343937;1098,51522571
ARARAQUARA;FALSE;-9,28539838515238;-0,0756401332733439;-0,0117567259731837;208662;789,7945743
SAO CARLOS;FALSE;-7,37707928987065;-0,057770932404285;-0,00944477269688214;221950;781,07536588
ITABERA;TRUE;-6,66607766943949;-0,380950234430198;-0,119623754094997;17858;55,72536759
BARRA DO TURVO;FALSE;-6,39094366369938;-0,745518136379355;-0,188900836113429;7729;33,83226774
INDAIATUBA;FALSE;29,0420502321133;0,160133439513023;0,0276595626283781;201619;1049,98226553
ITAPEVI;FALSE;30,7717230936701;0,148137684550807;0,0469752436728041;200769;655,06255397
TABOAO DA SERRA;FALSE;32,4926855760226;0,241998293418978;0,0431303941887653;244528;753,3593464
ITAQUAQUECETUBA;FALSE;32,582021379989;0,35541197689023;0,0539474551887017;321770;603,95844931
SOROCABA;FALSE;34,377159053985;0,0825466785217547;0,0130674894601795;586625;2630,7393749
GUARULHOS;FALSE;35,6612158728377;0,037779055682285;0,00863509964444136;1221979;4129,79784151
BARUERI;FALSE;40,8861792405472;0,0716946426702341;0,0157373907253686;240749;2598,02784045
OSASCO;FALSE;41,9284704633355;0,139960517338463;0,0196218709452963;666740;2136,82327135
MOGI DAS CRUZES;FALSE;42,6913846347297;0,217191806301868;0,0326637379022938;387779;1306,9963016
SAO BERNARDO DO CAMPO;FALSE;95,1695458651765;0,145000730380617;0,0272976253469059;765463;3486,36720798
