municipio;simulacao;dados_imputados;var_transf_total;var_transf_perc_cota2018;var_transf_perc_rc2018;pop;receitas_correntes_2018
ADAMANTINA;sim_alt3;FALSE;2,97102113199446;0,204751623193942;0,0172310049393932;33797;172,42297489
ADOLFO;sim_alt3;FALSE;4,27532234362701;0,775156442457709;0,174459409299115;3557;24,50611498
AGUAI;sim_alt3;FALSE;3,18144005161489;0,18556814767606;0,0343529350156686;32148;92,61042907
AGUAS DA PRATA;sim_alt3;TRUE;4,08765409529722;1,01244433862296;0,159556685201256;7584;25,61882061
AGUAS DE LINDOIA;sim_alt3;FALSE;6,7053479432917;1,14015350288796;0,0781693591957123;17266;85,77974813
AGUAS DE SANTA BARBARA;sim_alt3;FALSE;2,66442693438752;0,415365912042388;0,0749273217848113;5601;35,56015177
AGUAS DE SAO PEDRO;sim_alt3;FALSE;5,58783533945422;2,88964744867076;0,207820866901238;2707;26,88774916
AGUDOS;sim_alt3;FALSE;0,0986364710386454;0,00142907337705428;0,000576178939119468;34524;171,19069154
ALAMBARI;sim_alt3;FALSE;6,9549598419987;2,18089029793521;0,32337798374155;4884;21,50721506
ALFREDO MARCONDES;sim_alt3;TRUE;-1,79088653936409;-0,58438185677787;-0,105919055403871;3891;16,90806751
ALTAIR;sim_alt3;FALSE;4,20645439299977;0,810406568989447;0,189107231162988;3815;22,24375222
ALTINOPOLIS;sim_alt3;FALSE;2,48564507267705;0,191036059353491;0,037049230096469;15607;67,09032998
ALTO ALEGRE;sim_alt3;FALSE;2,16664809659034;0,484959876198738;0,107623359749826;4102;20,13176416
ALUMINIO;sim_alt3;FALSE;5,32065615655482;0,191320321508396;0,0715062484347121;16839;74,40826883
ALVARES FLORENCE;sim_alt3;FALSE;1,8564951964271;0,35621675869775;0,0860925921173853;3897;21,56393658
ALVARES MACHADO;sim_alt3;FALSE;4,85297214258369;0,570799415075735;0,0709023267160684;23513;68,44587995
ALVARO DE CARVALHO;sim_alt3;FALSE;5,51130813414164;2,01337536901749;0,301592304775194;4650;18,27403434
ALVINLANDIA;sim_alt3;FALSE;4,31405611302556;2,06052241555465;0,26678294729191;3000;16,17065917
AMERICANA;sim_alt3;FALSE;-10,176318125683;-0,0766529301112835;-0,0127844371364811;210638;795,99266022
AMERICO BRASILIENSE;sim_alt3;FALSE;5,17063795910482;0,357167127123174;0,0495852616028532;34478;104,27771866
AMERICO DE CAMPOS;sim_alt3;FALSE;5,9917087642763;1,2467778110592;0,24097164910886;5706;24,86478715
AMPARO;sim_alt3;FALSE;0,32735209811365;0,0050057510394522;0,00118654137269342;65829;275,88763919
