municipio;simulacao;dados_imputados;var_transf_total;var_transf_perc_cota2018;var_transf_perc_rc2018;pop;receitas_correntes_2018
PRESIDENTE ALVES;sim_alt3;TRUE;-2,39709713917644;-0,657801286364938;-0,136231124329373;4123;17,59581117
ALFREDO MARCONDES;sim_alt3;TRUE;-1,79088653936409;-0,58438185677787;-0,105919055403871;3891;16,90806751
RIO GRANDE DA SERRA;sim_alt3;TRUE;-4,69884599623549;-0,471774590124699;-0,0573522872718026;43974;81,92953097
ITABERA;sim_alt3;TRUE;-6,99099486480282;-0,399518467187449;-0,111033204164259;17858;62,96310115
CARAPICUIBA;sim_alt3;FALSE;-22,9448984786813;-0,303388445945714;-0,0444043203239811;369584;516,72671288
PRESIDENTE EPITACIO;sim_alt3;FALSE;-6,21903434170029;-0,273362739563652;-0,0567362324665331;41318;109,61310033
SAO VICENTE;sim_alt3;FALSE;-17,2882766689797;-0,233544630255731;-0,0184257610026488;332445;938,26662934
FRANCISCO MORATO;sim_alt3;FALSE;-5,16050730929709;-0,213615350264809;-0,0150908101989361;154472;341,96356864
ITAQUAQUECETUBA;sim_alt3;FALSE;-17,0562072312716;-0,186052923470205;-0,0266569866681124;321770;639,84003307
ITAI;sim_alt3;FALSE;-3,81821890820024;-0,172046803510781;-0,0414235812314489;24008;92,17500744
SAO JOSE DO BARREIRO;sim_alt3;FALSE;6,14521237017987;2,64903877208088;0,295397910328368;4077;20,80316805
MOMBUCA;sim_alt3;FALSE;7,47136649243403;2,65117369923004;0,366321309025088;3266;20,39566443
FERNAO;sim_alt3;FALSE;4,98938973664908;2,7630436276904;0,299723094653042;1563;16,64666429
VARGEM;sim_alt3;FALSE;8,89497364913758;2,76700723727434;0,359427877324169;8801;24,74758974
MONTE ALEGRE DO SUL;sim_alt3;FALSE;8,84287330717512;2,78874572049074;0,301934485229196;7152;29,28739094
MARINOPOLIS;sim_alt3;FALSE;5,21898126234441;2,8277914596512;0,364127912558759;2113;14,33282394
AGUAS DE SAO PEDRO;sim_alt3;FALSE;5,58783533945422;2,88964744867076;0,207820866901238;2707;26,88774916
SANTO EXPEDITO;sim_alt3;FALSE;6,096990402319;3,29374447648125;NA;2803;NA
VITORIA BRASIL;sim_alt3;TRUE;4,84251659277592;3,30303878202984;0,361557862155349;1737;13,39347612
TRABIJU;sim_alt3;FALSE;6,15017729079392;4,00195354841003;0,445235512697226;1544;13,81331254
PRESIDENTE ALVES;sim_alt4;TRUE;-2,16617535703094;-0,59443270489928;-0,123107445067617;4123;17,59581117
ALFREDO MARCONDES;sim_alt4;TRUE;-1,57295865813;-0,51327009336908;-0,0930300672859092;3891;16,90806751
SANTO ANTONIO DO ARACANGUA;sim_alt4;FALSE;-5,59485310889926;-0,344030760408486;-0,118503346519731;7626;47,21261697
ITABERA;sim_alt4;TRUE;-5,99080054378549;-0,342359778080944;-0,0951477998123587;17858;62,96310115
PRESIDENTE EPITACIO;sim_alt4;FALSE;-7,18692908063468;-0,315907344225219;-0,0655663333944373;41318;109,61310033
MARABA PAULISTA;sim_alt4;FALSE;-1,87661398966135;-0,269109472457412;NA;4812;NA
ITAI;sim_alt4;FALSE;-5,95186743625649;-0,268187810062077;-0,0645713800471432;24008;92,17500744
PEREIRA BARRETO;sim_alt4;FALSE;-5,89987104605046;-0,258032385813397;-0,0595060389185919;24962;99,14743366
RIO GRANDE DA SERRA;sim_alt4;TRUE;-2,23594169158682;-0,224493519459077;-0,02729103493105;43974;81,92953097
NATIVIDADE DA SERRA;sim_alt4;FALSE;-1,39275438522462;-0,207005248888816;-0,0475712431730667;6678;29,27723331
JUMIRIM;sim_alt4;FALSE;3,67678409592908;1,1992314737168;0,178265880693215;2798;20,6252822
FERNAO;sim_alt4;FALSE;2,16870865608389;1,2009959030649;0,130278872589909;1563;16,64666429
MARINOPOLIS;sim_alt4;FALSE;2,2942890929882;1,2431106334742;0,160072369729269;2113;14,33282394
MOMBUCA;sim_alt4;FALSE;3,50486025171709;1,24368056743552;0,171843396607457;3266;20,39566443
VARGEM;sim_alt4;FALSE;4,42424388760272;1,37627331337293;0,178774738634516;8801;24,74758974
MONTE ALEGRE DO SUL;sim_alt4;FALSE;4,37535656113008;1,37984074424905;0,149393866121216;7152;29,28739094
AGUAS DE SAO PEDRO;sim_alt4;FALSE;2,6895435660034;1,39084855430792;0,100028587368873;2707;26,88774916
VITORIA BRASIL;sim_alt4;TRUE;2,16112868746474;1,47408722941749;0,161356817909102;1737;13,39347612
SANTO EXPEDITO;sim_alt4;FALSE;2,74829346581959;1,48469586229786;NA;2803;NA
TRABIJU;sim_alt4;FALSE;2,85737014172872;1,85930616909679;0,206856257936282;1544;13,81331254
