municipio;simulacao;dados_imputados;var_transf_total;var_transf_perc_cota2018;var_transf_perc_rc2018;pop;receitas_correntes_2018
PRESIDENTE ALVES;sim_alt3;TRUE;-2,39709713917644;-0,657801286364938;-0,136231124329373;4123;17,59581117
ITABERA;sim_alt3;TRUE;-6,99099486480282;-0,399518467187449;-0,111033204164259;17858;62,96310115
ALFREDO MARCONDES;sim_alt3;TRUE;-1,79088653936409;-0,58438185677787;-0,105919055403871;3891;16,90806751
RIO GRANDE DA SERRA;sim_alt3;TRUE;-4,69884599623549;-0,471774590124699;-0,0573522872718026;43974;81,92953097
PRESIDENTE EPITACIO;sim_alt3;FALSE;-6,21903434170029;-0,273362739563652;-0,0567362324665331;41318;109,61310033
CARAPICUIBA;sim_alt3;FALSE;-22,9448984786813;-0,303388445945714;-0,0444043203239811;369584;516,72671288
SANTO ANTONIO DO ARACANGUA;sim_alt3;FALSE;-1,99503290031837;-0,122675729349311;-0,0422563507035855;7626;47,21261697
ITAI;sim_alt3;FALSE;-3,81821890820024;-0,172046803510781;-0,0414235812314489;24008;92,17500744
MAUA;sim_alt3;FALSE;-31,4235886435824;-0,124281741289891;-0,0301411757996587;417064;1042,54687516
PEREIRA BARRETO;sim_alt3;FALSE;-2,89299272824592;-0,126525785052509;-0,029178695014605;24962;99,14743366
TRABIJU;sim_alt3;FALSE;6,15017729079392;4,00195354841003;0,445235512697226;1544;13,81331254
GENERAL SALGADO;sim_alt3;FALSE;3,75050686126552;0,419095447103091;0,884434548568671;10669;4,24057028
MACAUBAL;sim_alt3;TRUE;2,10226719470732;0,442847489950167;1,60640322539695;7663;1,30867964
NHANDEARA;sim_alt3;FALSE;2,65423381105924;0,349466578238555;1,71919007259158;10725;1,54388619
IPIGUA;sim_alt3;FALSE;4,9018468266336;1,48167403605666;6,76445388187197;4463;0,72464783
SAO JOAO DE IRACEMA;sim_alt3;FALSE;4,97308913159436;1,88837503422301;9,84649081474175;1780;0,50506208
MONCOES;sim_alt3;TRUE;3,3727215677769;0,835123296994426;9,91766473019593;2132;0,34007215
FLOREAL;sim_alt3;FALSE;2,92786866074871;0,92772265396906;12,6328582211245;3003;0,23176613
ASPASIA;sim_alt3;TRUE;2,38736598274;1,42325466402314;24,2823067679987;1809;0,0983171
NIPOA;sim_alt3;FALSE;5,38502212329756;1,83924168350281;24,4154346593628;4274;0,22055811
PRESIDENTE ALVES;sim_alt4;TRUE;-2,16617535703094;-0,59443270489928;-0,123107445067617;4123;17,59581117
SANTO ANTONIO DO ARACANGUA;sim_alt4;FALSE;-5,59485310889926;-0,344030760408486;-0,118503346519731;7626;47,21261697
ITABERA;sim_alt4;TRUE;-5,99080054378549;-0,342359778080944;-0,0951477998123587;17858;62,96310115
ALFREDO MARCONDES;sim_alt4;TRUE;-1,57295865813;-0,51327009336908;-0,0930300672859092;3891;16,90806751
PRESIDENTE EPITACIO;sim_alt4;FALSE;-7,18692908063468;-0,315907344225219;-0,0655663333944373;41318;109,61310033
ITAI;sim_alt4;FALSE;-5,95186743625649;-0,268187810062077;-0,0645713800471432;24008;92,17500744
PEREIRA BARRETO;sim_alt4;FALSE;-5,89987104605046;-0,258032385813397;-0,0595060389185919;24962;99,14743366
CASTILHO;sim_alt4;FALSE;-4,76814965252097;-0,146343913559522;-0,0518085156141218;18003;92,03409123
NATIVIDADE DA SERRA;sim_alt4;FALSE;-1,39275438522462;-0,207005248888816;-0,0475712431730667;6678;29,27723331
MIGUELOPOLIS;sim_alt4;FALSE;-4,00877823115815;-0,17478143082467;-0,0471010741151872;20451;85,11012342
JERIQUARA;sim_alt4;FALSE;4,04059728339789;1,11347251380992;0,207177253260234;3160;19,50309322
GENERAL SALGADO;sim_alt4;FALSE;0,894039154486183;0,0999032272268999;0,210829934526208;10669;4,24057028
NHANDEARA;sim_alt4;FALSE;0,421830599472185;0,0555398305829858;0,27322648664419;10725;1,54388619
MACAUBAL;sim_alt4;TRUE;0,393359023950368;0,0828619962506336;0,300577018184808;7663;1,30867964
IPIGUA;sim_alt4;FALSE;2,08491593083203;0,630204474217781;2,87714368899998;4463;0,72464783
MONCOES;sim_alt4;TRUE;1,26756409969026;0,313862940895786;3,72733874176484;2132;0,34007215
FLOREAL;sim_alt4;FALSE;0,874765960598023;0,277177801534398;3,77434770386002;3003;0,23176613
SAO JOAO DE IRACEMA;sim_alt4;FALSE;2,00413013148766;0,761005726117373;3,96808671814693;1780;0,50506208
ASPASIA;sim_alt4;TRUE;0,789448352644082;0,470638376365121;8,02961389874276;1809;0,0983171
NIPOA;sim_alt4;FALSE;2,33287959197103;0,796789556273668;10,5771653192487;4274;0,22055811
