municipio;simulacao;dados_imputados;var_transf_total;var_transf_perc_cota2018;var_transf_perc_rc2018;pop;receitas_correntes_2018
SAO PAULO;sim_alt3;FALSE;-869,644875978262;-0,153797453485639;-0,0164134797611295;11253503;52983,57743967
GUARULHOS;sim_alt3;FALSE;-99,9955409982879;-0,10593405241216;-0,0226073144156515;1221979;4423,14992218
CAMPINAS;sim_alt3;FALSE;-82,8369974743393;-0,114655234897747;-0,0171719423461332;1080113;4823,9736545
SAO BERNARDO DO CAMPO;sim_alt3;FALSE;-59,0088432931748;-0,0899061280438093;-0,0159907491083306;765463;3690,18630043
SAO JOSE DOS CAMPOS;sim_alt3;FALSE;-52,4183781359775;-0,0737667751640556;-0,020142166483602;629921;2602,42006135
SANTO ANDRE;sim_alt3;FALSE;-47,6885803565635;-0,152736489299239;-0,0190475702406085;676407;2503,65688401
OSASCO;sim_alt3;FALSE;-45,1904390577701;-0,150849223913584;-0,0197586928965549;666740;2287,11682976
RIBEIRAO PRETO;sim_alt3;FALSE;-43,2422555579934;-0,109463676427455;-0,0164839964145266;604682;2623,28712471
SOROCABA;sim_alt3;FALSE;-41,7292674063516;-0,100200613323838;-0,0149853958281511;586625;2784,66233958
MAUA;sim_alt3;FALSE;-31,4235886435824;-0,124281741289891;-0,0301411757996587;417064;1042,54687516
SALTINHO;sim_alt3;FALSE;7,35373566747965;1,48749268833247;0,270607614418782;7059;27,17490298
BURITIZAL;sim_alt3;FALSE;7,47056402094299;0,8661042590232;0,26556100275313;4053;28,131254
MOMBUCA;sim_alt3;FALSE;7,47136649243403;2,65117369923004;0,366321309025088;3266;20,39566443
JUMIRIM;sim_alt3;FALSE;7,62661368920909;2,48752032628336;0,369770149821712;2798;20,6252822
SERRA AZUL;sim_alt3;FALSE;8,00067218879634;1,69484879677863;0,254776650131523;11256;31,4026901
ENGENHEIRO COELHO;sim_alt3;FALSE;8,20359351121137;0,879750086112806;0,133534932269956;15721;61,43406352
PIACATU;sim_alt3;FALSE;8,26268506675822;2,07759711441227;0,35902107548848;5287;23,01448475
JERIQUARA;sim_alt3;FALSE;8,60865049446067;2,37229672602198;0,441399238436326;3160;19,50309322
MONTE ALEGRE DO SUL;sim_alt3;FALSE;8,84287330717512;2,78874572049074;0,301934485229196;7152;29,28739094
VARGEM;sim_alt3;FALSE;8,89497364913758;2,76700723727434;0,359427877324169;8801;24,74758974
SAO PAULO;sim_alt4;FALSE;-245,152816113815;-0,0433554889755715;-0,00462695853999212;11253503;52983,57743967
GUARULHOS;sim_alt4;FALSE;-36,3556786890206;-0,0385147610910799;-0,00821940909276307;1221979;4423,14992218
CAMPINAS;sim_alt4;FALSE;-27,2373480107649;-0,0376993931381124;-0,0056462472562131;1080113;4823,9736545
SAO JOSE DOS CAMPOS;sim_alt4;FALSE;-22,1003716320234;-0,0311011748778737;-0,00849223842078704;629921;2602,42006135
SAO BERNARDO DO CAMPO;sim_alt4;FALSE;-21,6784430795684;-0,0330293693373844;-0,00587462022636698;765463;3690,18630043
RIBEIRAO PRETO;sim_alt4;FALSE;-14,7702262355897;-0,0373894294955212;-0,00563042683984605;604682;2623,28712471
SANTO ANDRE;sim_alt4;FALSE;-14,5561735619368;-0,0466203613288027;-0,00581396502647871;676407;2503,65688401
SOROCABA;sim_alt4;FALSE;-14,1561993450122;-0,0339919664271134;-0,00508363227519617;586625;2784,66233958
PIRACICABA;sim_alt4;FALSE;-13,3625175321524;-0,0441881960647959;-0,008242539307133;364571;1621,16515727
OSASCO;sim_alt4;FALSE;-12,8702302582911;-0,0429618363205197;-0,00562727277016349;666740;2287,11682976
GUARAREMA;sim_alt4;FALSE;3,5940005091875;0,135002431447102;0,0205631382656499;25844;174,77879411
CANANEIA;sim_alt4;FALSE;3,60841133637049;0,469469155771587;0,0582278216851478;12226;61,97057063
JUMIRIM;sim_alt4;FALSE;3,67678409592908;1,1992314737168;0,178265880693215;2798;20,6252822
SERRA AZUL;sim_alt4;FALSE;3,69147593659267;0,781995987566214;0,1175528569316;11256;31,4026901
PIACATU;sim_alt4;FALSE;3,73105459959841;0,938148822956597;0,162117668074164;5287;23,01448475
BERTIOGA;sim_alt4;FALSE;4,02796546851521;0,191920193150087;0,00978230968987277;47645;411,76016669
JERIQUARA;sim_alt4;FALSE;4,04059728339789;1,11347251380992;0,207177253260234;3160;19,50309322
ENGENHEIRO COELHO;sim_alt4;FALSE;4,10343084228074;0,440050281857683;0,0667940651678503;15721;61,43406352
MONTE ALEGRE DO SUL;sim_alt4;FALSE;4,37535656113008;1,37984074424905;0,149393866121216;7152;29,28739094
VARGEM;sim_alt4;FALSE;4,42424388760272;1,37627331337293;0,178774738634516;8801;24,74758974
